t,x,y,s,d,yaw, speed
363,1265.12,1187.84,489.732,6.00799,358.05,49.4667
364,1266.89,1187.78,491.499,6.01152,358.052,49.4667
365,1268.66,1187.72,493.267,6.01514,358.124,49.4667
366,1270.42,1187.66,495.035,6.01473,358.185,49.3539
367,1271.75,1187.62,496.439,6.00935,358.185,49.3539
368,1273.52,1187.57,498.207,5.98559,358.185,49.3398
369,1275.28,1187.51,499.975,5.96194,358.177,49.3539
370,1277.05,1187.45,501.742,5.93829,358.25,49.4631
371,1278.38,1187.41,503.068,5.91749,358.311,49.3365
372,1280.14,1187.36,504.835,5.88982,358.248,49.3365
373,1281.91,1187.31,506.603,5.86715,358.114,49.3575
374,1283.68,1187.25,508.371,5.84545,358.058,49.4662
375,1285,1187.2,509.696,5.83177,357.86,49.4705
376,1286.77,1187.14,511.463,5.81817,357.733,49.4746
377,1288.53,1187.06,513.229,5.81351,357.398,49.3797
378,1290.3,1186.98,514.996,5.81691,357.145,49.3901
379,1291.62,1186.91,516.321,5.82522,357.014,49.3957
380,1293.38,1186.81,518.089,5.84264,356.686,49.4146
381,1295.15,1186.71,519.856,5.86607,356.495,49.4146
382,1296.91,1186.6,521.623,5.90147,356.096,49.4295
383,1298.23,1186.5,522.948,5.93275,355.906,49.4507
384,1300,1186.38,524.714,5.98225,355.645,49.3439
385,1301.32,1186.27,526.039,6.02561,355.455,49.3618
386,1303.08,1186.13,527.806,6.08998,355.187,49.5021
387,1304.4,1186.02,529.13,6.14339,354.998,49.3889
388,1306.16,1185.86,530.897,6.21988,354.866,49.3984
389,1307.48,1185.74,532.634,6.21386,354.732,49.423
390,1308.8,1185.62,533.96,6.18965,354.669,49.4194
391,1310.56,1185.45,535.727,6.16028,354.543,49.4297
392,1311.88,1185.32,537.053,6.1409,354.408,49.4538
393,1313.2,1185.19,538.38,6.12361,354.345,49.4645
394,1314.52,1185.06,539.706,6.10632,354.345,49.4509
395,1316.28,1184.88,541.472,6.08613,354.204,49.3546
396,1317.6,1184.75,542.799,6.07284,354.15,49.4633
397,1318.92,1184.62,544.125,6.06159,354.149,49.4769
398,1320.24,1184.48,545.451,6.05034,354.023,49.4881
399,1321.56,1184.34,546.777,6.04116,354.023,49.4745
400,1322.88,1184.2,548.102,6.03197,354.016,49.3659
401,1324.19,1184.07,549.429,6.02279,354.024,49.3659
402,1325.51,1183.93,550.755,6.01348,354.016,49.4881
403,1326.83,1183.79,552.081,6.0043,354.024,49.4881
404,1328.15,1183.65,553.406,5.99511,354.015,49.3659
405,1329.47,1183.51,554.732,5.98593,354.03,49.4745
406,1330.79,1183.38,556.058,5.97663,354.023,49.4745
407,1332.11,1183.24,557.385,5.96634,354.087,49.4755
